homeShotsTotalFT,awayShotsTotalFT,homeShotsOnTargetFT,awayShotsOnTargetFT,homeInterceptionsFT,awayInterceptionsFT,homeTacklesTotalFT,awayTacklesTotalFT,homeTackleSuccessFT,awayTackleSuccessFT,homeFoulsCommitedFT,awayFoulsCommitedFT,homePassesKeyFT,awayPassesKeyFT,homePassSuccessFT,awayPassSuccessFT,homePossessionFT,awayPossessionFT,homeDribbleSuccessFT,awayDribbleSuccessFT,homeAerialsTotalFT,awayAerialsTotalFT,homeCornersTotalFT,awayCornersTotalFT,division
15,6,3,2,20,16,8,30,100,70.14,14,17,13,3,76.05,56.87,56.7,43.3,52.22,0,39,39,5,1,Serie_A
14,11,2,5,24,12,15,26,60,65,16,15,8,6,73.78,65.94,56.62,43.38,70.83,75,26,26,7,0,Serie_A
27,9,7,4,5,17,34,18,65.28,87.18,9,8,23,8,79.35,68.85,58.88,41.12,33.33,52.63,12,12,4,1,Serie_A
13,17,4,7,25,39,32,19,67.31,84.38,17,15,11,15,67.48,67.82,52.22,47.78,41.67,50.88,32,32,9,6,Serie_A
11,10,3,6,28,13,24,28,64.29,55.77,16,15,6,9,63.5,78.33,36.66,63.34,63.16,64.29,24,24,3,3,Serie_A
14,7,8,0,19,11,22,23,68.63,57.14,19,14,13,2,80.45,67.99,61.12,38.88,67.86,54.17,22,22,7,2,Serie_A
16,15,5,5,19,12,39,30,67.26,61.11,13,15,11,13,68.93,79.03,50.59,49.41,61.76,54.63,24,24,7,4,Serie_A
17,11,7,5,10,17,41,22,65.67,67.59,12,25,15,7,70.03,65.17,56.52,43.48,46.15,57.35,19,19,6,3,Serie_A
10,12,1,6,10,9,23,18,58.33,76.67,22,16,4,10,71.61,61.44,51.47,48.53,56.25,57.14,37,37,7,7,Serie_A
15,22,6,10,23,19,23,23,52.5,57.14,14,11,12,19,54.86,72.58,34.21,65.79,81.82,66.67,30,30,2,11,Serie_A
7,7,1,3,8,27,27,23,75,60.53,15,25,5,3,74.68,66.96,62.83,37.17,53.33,59.09,37,37,5,4,Serie_A
10,12,5,5,27,13,33,28,72.02,50,11,17,7,7,65.55,77.93,34.13,65.87,56.48,42.86,24,24,2,6,Serie_A
18,11,10,5,19,13,22,35,70.37,46.33,18,16,13,7,78.09,61.45,59.23,40.77,67.86,53.33,15,15,12,5,Serie_A
18,20,6,6,19,19,20,25,61.11,64.29,18,18,14,16,61.43,73.05,40.8,59.2,50,53.85,50,50,4,5,Serie_A
15,7,6,1,30,7,18,40,75,65.28,17,11,11,5,70.76,69.96,53.97,46.03,56.52,83.33,14,14,9,2,Serie_A
15,5,0,2,32,22,22,48,80.39,74.76,12,9,11,3,75.1,47.47,64.52,35.48,50,28.89,33,33,9,7,Serie_A
17,7,4,3,22,31,25,35,69.57,62.78,16,12,11,7,74.18,66.89,58.41,41.59,53.17,58.33,30,30,10,0,Serie_A
12,14,6,5,17,11,22,15,44.44,42.86,12,13,10,10,68.8,64.75,56.79,43.21,88.89,78.57,30,30,8,2,Serie_A
11,11,3,5,21,20,40,43,64.84,71.08,23,16,9,10,59.08,72.79,41.31,58.69,47.1,75,38,38,4,3,Serie_A
30,5,3,2,10,24,17,32,84.38,59.26,14,21,22,3,76.3,47.53,68.82,31.18,57.14,30,40,40,8,1,Serie_A
16,14,4,3,31,14,26,33,61.9,59.33,9,10,9,11,77.2,72.01,52.49,47.51,63.89,50,14,14,8,5,Serie_A
17,9,8,4,6,19,19,20,53.33,86.11,12,21,14,6,76.04,74.01,57.25,42.75,60,72.73,18,18,7,5,Serie_A
9,13,5,2,21,14,36,14,71.73,88.46,11,14,8,10,64.4,77.91,44.15,55.85,40,45,31,31,2,8,Serie_A
13,10,6,5,20,21,38,14,70.56,75,17,10,11,8,56.72,65.16,42.74,57.26,37.5,41.3,52,52,6,5,Serie_A
17,10,7,6,12,10,17,25,57.14,70,15,23,13,9,80.75,64.78,67.29,32.71,50,75,20,20,6,2,Serie_A
12,17,5,6,14,20,20,14,69.44,78.57,9,15,9,15,67.27,67.24,45.74,54.26,60,50,19,19,4,8,Serie_A
21,15,6,6,16,21,34,23,68.67,42.71,16,19,15,8,67.63,65.93,55.03,44.97,71.11,72.22,37,37,9,7,Serie_A
14,13,0,2,25,26,29,33,69.23,57.41,14,18,11,11,77.04,74.13,52.4,47.6,50,47.22,32,32,4,5,Serie_A
16,8,2,2,32,16,22,23,83.33,69.17,20,16,11,5,72.87,61.12,56.94,43.06,50,35,40,40,5,4,Serie_A
31,9,7,2,13,11,27,25,81.16,69.44,16,25,22,7,73.61,57.37,62.36,37.64,72.22,71.43,30,30,10,3,Serie_A
9,13,2,5,13,17,32,15,55.77,71.43,18,16,7,12,68.74,72.47,48.43,51.57,57.14,84.38,15,15,5,8,Serie_A
20,12,6,2,15,17,17,28,77.78,63.33,19,13,17,7,76.6,53.93,59.89,40.11,62.5,52.78,27,27,4,4,Serie_A
17,13,5,2,23,15,43,26,53.23,63.04,14,19,6,9,70.21,72.39,45.01,54.99,63.33,71.43,31,31,8,8,Serie_A
21,18,9,5,24,21,25,23,73.81,48.81,14,14,16,14,73.02,69.81,50.6,49.4,69.44,42.86,27,27,6,7,Serie_A
20,9,6,3,17,25,41,26,75.49,54.39,10,18,16,7,76.11,64.18,62.98,37.02,70.51,34.62,27,27,3,5,Serie_A
18,11,10,3,28,15,31,33,68.75,57.69,14,20,15,6,76.74,64.25,53.22,46.78,63.16,56.25,20,20,1,2,Serie_A
9,12,5,4,26,13,31,29,51.85,68,23,16,6,9,61.89,75.1,36.31,63.69,35.42,69.3,30,30,2,4,Serie_A
8,13,3,8,12,13,19,25,69.44,50,10,16,3,10,65.79,77.12,41.62,58.38,68.75,54.55,23,23,3,4,Serie_A
8,10,3,3,42,27,42,17,65.59,63.33,16,17,5,7,50.41,70.07,42.18,57.82,46.15,76.67,36,36,2,7,Serie_A
16,10,4,3,15,16,15,15,89.29,78.57,14,16,11,7,78.1,50.85,66.84,33.16,50,30,26,26,8,2,Serie_A
15,14,5,5,27,20,24,20,64.29,68.42,18,13,11,10,62.15,74.56,39,61,66.67,80,18,18,3,6,Serie_A
4,14,3,1,22,10,32,35,72.02,67.9,20,19,4,14,60.69,77.8,35.28,64.72,69.23,50,13,13,4,10,Serie_A
21,9,9,4,23,19,29,32,58.33,54.67,18,8,17,6,80.98,64.77,54.38,45.62,96.15,58.33,30,30,10,3,Serie_A
25,14,11,4,16,21,31,29,78.26,44,9,13,17,13,69.38,65.92,56.91,43.09,73.68,42.86,30,30,9,2,Serie_A
13,8,3,5,21,19,21,22,63.89,62.5,12,11,11,7,70.13,66.92,56.47,43.53,46.88,58.33,28,28,8,5,Serie_A
19,11,6,4,25,20,28,18,84.62,63.09,21,22,15,7,69.56,73.42,51.24,48.76,45.83,45,21,21,7,1,Serie_A
11,16,1,3,17,21,38,30,41.67,52.92,15,19,7,14,57.48,56.02,49.45,50.55,72.22,71.74,50,50,5,1,Serie_A
16,10,6,5,21,29,17,39,53.57,76.39,12,22,10,8,76.52,62.68,59.43,40.57,47.22,65,22,22,2,3,Serie_A
